"id","kebijakan_id","program_id","kegiatan_id","cost_type_id","code","name"
"mak190","1","1.06","1.06.07","5","650.1.1.06.07.5","Vakasi ujian/Overhead"
"mak191","1","1.07","1.07.01","1","650.1.1.07.01.1","Tersediaan sarana & prasarana ujian/Bahan habis pakai"
"mak192","1","1.07","1.07.01","2","650.1.1.07.01.2","Tersediaan sarana & prasarana ujian/Honor/Upah"
"mak193","1","1.07","1.07.01","3","650.1.1.07.01.3","Tersediaan sarana & prasarana ujian/Sewa"
"mak194","1","1.07","1.07.01","4","650.1.1.07.01.4","Tersediaan sarana & prasarana ujian/Outsourcing"
"mak195","1","1.07","1.07.01","5","650.1.1.07.01.5","Tersediaan sarana & prasarana ujian/Overhead"
"mak196","1","1.07","1.07.02","1","650.1.1.07.02.1","Jadual ujian/Bahan habis pakai"
"mak197","1","1.07","1.07.02","2","650.1.1.07.02.2","Jadual ujian/Honor/Upah"
"mak198","1","1.07","1.07.02","3","650.1.1.07.02.3","Jadual ujian/Sewa"
"mak199","1","1.07","1.07.02","4","650.1.1.07.02.4","Jadual ujian/Outsourcing"
"mak200","1","1.07","1.07.02","5","650.1.1.07.02.5","Jadual ujian/Overhead"
"mak201","1","1.07","1.07.03","1","650.1.1.07.03.1","KPU/Bahan habis pakai"
"mak202","1","1.07","1.07.03","2","650.1.1.07.03.2","KPU/Honor/Upah"
"mak203","1","1.07","1.07.03","3","650.1.1.07.03.3","KPU/Sewa"
"mak204","1","1.07","1.07.03","4","650.1.1.07.03.4","KPU/Outsourcing"
"mak205","1","1.07","1.07.03","5","650.1.1.07.03.5","KPU/Overhead"
"mak206","1","1.07","1.07.04","1","650.1.1.07.04.1","Naskah ujian & lembar jawab/Bahan habis pakai"
"mak207","1","1.07","1.07.04","2","650.1.1.07.04.2","Naskah ujian & lembar jawab/Honor/Upah"
"mak208","1","1.07","1.07.04","3","650.1.1.07.04.3","Naskah ujian & lembar jawab/Sewa"
"mak209","1","1.07","1.07.04","4","650.1.1.07.04.4","Naskah ujian & lembar jawab/Outsourcing"
"mak210","1","1.07","1.07.04","5","650.1.1.07.04.5","Naskah ujian & lembar jawab/Overhead"
"mak211","1","1.07","1.07.05","1","650.1.1.07.05.1","Daftar hadir & daftar nilai peserta ujian/Bahan habis pakai"
"mak212","1","1.07","1.07.05","2","650.1.1.07.05.2","Daftar hadir & daftar nilai peserta ujian/Honor/Upah"
"mak213","1","1.07","1.07.05","3","650.1.1.07.05.3","Daftar hadir & daftar nilai peserta ujian/Sewa"
"mak214","1","1.07","1.07.05","4","650.1.1.07.05.4","Daftar hadir & daftar nilai peserta ujian/Outsourcing"
"mak215","1","1.07","1.07.05","5","650.1.1.07.05.5","Daftar hadir & daftar nilai peserta ujian/Overhead"
"mak216","1","1.07","1.07.06","1","650.1.1.07.06.1","Nilai akhir/Bahan habis pakai"
"mak217","1","1.07","1.07.06","2","650.1.1.07.06.2","Nilai akhir/Honor/Upah"
"mak218","1","1.07","1.07.06","3","650.1.1.07.06.3","Nilai akhir/Sewa"
"mak219","1","1.07","1.07.06","4","650.1.1.07.06.4","Nilai akhir/Outsourcing"
"mak220","1","1.07","1.07.06","5","650.1.1.07.06.5","Nilai akhir/Overhead"
"mak221","1","1.07","1.07.07","1","650.1.1.07.07.1","Vakasi ujian/Bahan habis pakai"
"mak222","1","1.07","1.07.07","2","650.1.1.07.07.2","Vakasi ujian/Honor/Upah"
"mak223","1","1.07","1.07.07","3","650.1.1.07.07.3","Vakasi ujian/Sewa"
"mak224","1","1.07","1.07.07","4","650.1.1.07.07.4","Vakasi ujian/Outsourcing"
"mak225","1","1.07","1.07.07","5","650.1.1.07.07.5","Vakasi ujian/Overhead"
"mak226","1","1.08","1.08.01","1","650.1.1.08.01.1","Tersedia perush tempat mhs praktek/Bahan habis pakai"
"mak227","1","1.08","1.08.01","2","650.1.1.08.01.2","Tersedia perush tempat mhs praktek/Honor/Upah"
"mak228","1","1.08","1.08.01","3","650.1.1.08.01.3","Tersedia perush tempat mhs praktek/Sewa"
"mak229","1","1.08","1.08.01","4","650.1.1.08.01.4","Tersedia perush tempat mhs praktek/Outsourcing"
"mak230","1","1.08","1.08.01","5","650.1.1.08.01.5","Tersedia perush tempat mhs praktek/Overhead"
"mak231","1","1.09","1.09.01","1","650.1.1.09.01.1","Jumlah IPK/IPS <2/Bahan habis pakai"
"mak232","1","1.09","1.09.01","2","650.1.1.09.01.2","Jumlah IPK/IPS <2/Honor/Upah"
"mak233","1","1.09","1.09.01","3","650.1.1.09.01.3","Jumlah IPK/IPS <2/Sewa"
"mak234","1","1.09","1.09.01","4","650.1.1.09.01.4","Jumlah IPK/IPS <2/Outsourcing"
"mak235","1","1.09","1.09.01","5","650.1.1.09.01.5","Jumlah IPK/IPS <2/Overhead"
"mak236","1","1.09","1.09.02","1","650.1.1.09.02.1","Jumlah IPK/IPS 2,02,5/Bahan habis pakai"
"mak237","1","1.09","1.09.02","2","650.1.1.09.02.2","Jumlah IPK/IPS 2,02,5/Honor/Upah"
"mak238","1","1.09","1.09.02","3","650.1.1.09.02.3","Jumlah IPK/IPS 2,02,5/Sewa"
"mak239","1","1.09","1.09.02","4","650.1.1.09.02.4","Jumlah IPK/IPS 2,02,5/Outsourcing"
"mak240","1","1.09","1.09.02","5","650.1.1.09.02.5","Jumlah IPK/IPS 2,02,5/Overhead"
"mak241","1","1.09","1.09.03","1","650.1.1.09.03.1","Jumlah IPK/IPS 2,53,0/Bahan habis pakai"
